gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
,6.2757128,6.39732273,5.87674083,5.84461259,5.18754402,6.53808983,3.02122322,11.8050476,4.74838672,,,,,,,,,,8.66489609,8.14781953,14.5367797,4.72120147,15.26056,6.46745137,10.3450363,5.31612298,12.9486471,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHLD2,226.050135,252.604989,266.22095,169.229231,263.630263,196.214705,304.426618,153.355749,232.476958,,,,,,,,,,135.114203,153.662413,150.685703,205.250678,120.609131,209.600821,184.000616,236.704234,159.525092,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC9A6,10.8150424,11.1518525,11.3308289,13.9462309,8.15551933,9.98716358,5.39221684,14.6255649,8.72544713,,,,,,,,,,18.9383166,17.4413749,17.9928218,8.27514835,19.0312274,14.9986724,12.6687544,11.3718813,12.9607378,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0196589,10.6875393,11.7201774,7.24138813,8.84944609,12.1557093,9.06104327,2.83844255,0.28769762,8.34790282,1.94235754,2.03442095,5.10776866,2.5779647,4.88233192,6.53404708,3.15502348,1.05070674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59755443,1.00241148,0.66249853,0.58000286,1.08834303,1.39415348,0.63680095,0.83699687,1.65396061,,,,,,,,,,1.1475374,0.36515595,0.86724701,0.91500397,0.35873227,0.44478211,0.58133078,0.62810602,0.54191888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07964379,0.74091585,0.87922305,0.75035531,0.75287051,1.16099448,1.27907483,0.85912522,1.31145653,0.67730273,0.67273939,0.55528772,0.81813661,0.28107178,0.94071703,0.59201244,0.68403137,0.47764098,,,,,,,,,
IMPACT,12.1231617,8.78159475,17.8844327,10.2839631,10.444954,20.1986617,15.5521062,11.6960779,26.28674,,,,,,,,,,10.4446223,7.44794273,8.5183677,13.8348689,8.69295345,9.30123581,15.0728584,11.3660207,16.4401082,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYB5A,1471.42741,1642.89769,2104.56951,1180.69001,1492.39494,1339.18633,2857.47231,1237.26619,1838.26057,,,,,,,,,,935.862391,831.168075,1055.79769,1249.01269,673.733244,1342.30241,1368.08177,1544.81831,1407.47276,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141.056086,144.284132,171.000564,152.299432,143.229524,154.234308,146.424376,159.050368,152.534105,,,,,,,,,,142.642844,141.449776,145.688397,111.5229,146.143227,131.784856,135.202541,130.111511,169.736261,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.52541132,5.33655319,4.63993877,7.90120251,2.78307868,7.8521826,3.9714208,13.1999722,4.1372511,,,,,,,,,,13.9077715,14.9288173,11.0433936,4.35034859,10.8186517,6.81605436,10.2938012,6.1047622,13.0262219,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.82312906,0.33478595,1.3029483,1.50423644,0.61698993,2.92730555,1.3128548,1.28308997,1.30701128,0.34921318,0.85595685,0.58018715,1.56591063,0.25218998,1.13165564,0.63240671,1.21954855,0.94288678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTATSF1,3.08625354,3.97067762,2.04653394,1.45699596,3.95563146,2.68282107,2.31470846,1.97268981,3.28213056,,,,,,,,,,1.90409984,2.23378714,1.60913676,2.1652001,1.26532938,2.20435219,2.28800347,1.97220852,2.17240555,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTS6L,14.0598958,19.085786,17.7948119,18.2482873,20.4452811,18.4477466,11.1502355,21.9659143,13.6024363,,,,,,,,,,25.1594377,22.2910654,20.7238328,18.1830199,24.0042502,22.5705531,20.3902239,17.3831625,23.1989232,,,,,,,,,,,,,,,,,,,,,,,,,,,
